# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 1.0 beta 2.0 rho 0.1 ants 96 gens 150 nmax 12 depth 45 breakeven 0.0369
gen   0  best  12.014  eliteMean  13.175  ever  12.014 (7 craft, 298/298 cov, sumJi 10.014)  [2 s]
gen   1  best  12.034  eliteMean  13.219  ever  12.014 (7 craft, 298/298 cov, sumJi 10.014)  [4 s]
gen   2  best  12.016  eliteMean  13.091  ever  12.014 (7 craft, 298/298 cov, sumJi 10.014)  [6 s]
gen   3  best  12.020  eliteMean  13.126  ever  12.014 (7 craft, 298/298 cov, sumJi 10.014)  [8 s]
gen   4  best  11.948  eliteMean  12.826  ever  11.948 (7 craft, 298/298 cov, sumJi 9.948)  [10 s]
gen   5  best  11.923  eliteMean  13.044  ever  11.923 (7 craft, 298/298 cov, sumJi 9.923)  [12 s]
gen   6  best  11.934  eliteMean  13.022  ever  11.923 (7 craft, 298/298 cov, sumJi 9.923)  [14 s]
gen   7  best  11.907  eliteMean  12.823  ever  11.907 (7 craft, 298/298 cov, sumJi 9.907)  [16 s]
gen   8  best  11.890  eliteMean  13.020  ever  11.890 (7 craft, 298/298 cov, sumJi 9.890)  [18 s]
gen   9  best  11.917  eliteMean  12.907  ever  11.890 (7 craft, 298/298 cov, sumJi 9.890)  [20 s]
gen  10  best  11.975  eliteMean  12.888  ever  11.890 (7 craft, 298/298 cov, sumJi 9.890)  [21 s]
gen  11  best  12.025  eliteMean  12.935  ever  11.890 (7 craft, 298/298 cov, sumJi 9.890)  [23 s]
gen  12  best  11.909  eliteMean  12.925  ever  11.890 (7 craft, 298/298 cov, sumJi 9.890)  [25 s]
gen  13  best  11.903  eliteMean  12.677  ever  11.890 (7 craft, 298/298 cov, sumJi 9.890)  [27 s]
gen  14  best  11.956  eliteMean  12.829  ever  11.890 (7 craft, 298/298 cov, sumJi 9.890)  [29 s]
gen  15  best  11.842  eliteMean  12.502  ever  11.842 (7 craft, 298/298 cov, sumJi 9.842)  [30 s]
gen  16  best  11.868  eliteMean  12.789  ever  11.842 (7 craft, 298/298 cov, sumJi 9.842)  [33 s]
gen  17  best  11.896  eliteMean  13.100  ever  11.842 (7 craft, 298/298 cov, sumJi 9.842)  [35 s]
gen  18  best  11.889  eliteMean  12.543  ever  11.842 (7 craft, 298/298 cov, sumJi 9.842)  [37 s]
gen  19  best  11.910  eliteMean  12.765  ever  11.842 (7 craft, 298/298 cov, sumJi 9.842)  [39 s]
gen  20  best  11.869  eliteMean  12.601  ever  11.842 (7 craft, 298/298 cov, sumJi 9.842)  [41 s]
gen  21  best  11.730  eliteMean  12.457  ever  11.730 (7 craft, 298/298 cov, sumJi 9.730)  [44 s]
gen  22  best  11.838  eliteMean  12.377  ever  11.730 (7 craft, 298/298 cov, sumJi 9.730)  [46 s]
gen  23  best  11.878  eliteMean  12.764  ever  11.730 (7 craft, 298/298 cov, sumJi 9.730)  [48 s]
gen  24  best  11.790  eliteMean  12.579  ever  11.730 (7 craft, 298/298 cov, sumJi 9.730)  [50 s]
gen  25  best  11.804  eliteMean  12.439  ever  11.730 (7 craft, 298/298 cov, sumJi 9.730)  [52 s]
gen  26  best  11.777  eliteMean  12.388  ever  11.730 (7 craft, 298/298 cov, sumJi 9.730)  [54 s]
gen  27  best  11.816  eliteMean  12.463  ever  11.730 (7 craft, 298/298 cov, sumJi 9.730)  [56 s]
