# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 1.0 beta 3.0 rho 0.15 ants 96 gens 150 nmax 12 depth 40 breakeven 0.0369
gen   0  best  12.550  eliteMean  13.275  ever  12.550 (8 craft, 298/298 cov, sumJi 10.550)  [2 s]
gen   1  best  12.530  eliteMean  12.937  ever  12.530 (8 craft, 298/298 cov, sumJi 10.530)  [4 s]
gen   2  best  12.504  eliteMean  13.049  ever  12.504 (8 craft, 298/298 cov, sumJi 10.504)  [5 s]
gen   3  best  12.477  eliteMean  12.832  ever  12.477 (8 craft, 298/298 cov, sumJi 10.477)  [7 s]
gen   4  best  12.527  eliteMean  12.969  ever  12.477 (8 craft, 298/298 cov, sumJi 10.477)  [8 s]
gen   5  best  12.536  eliteMean  13.162  ever  12.477 (8 craft, 298/298 cov, sumJi 10.477)  [10 s]
gen   6  best  12.487  eliteMean  12.822  ever  12.477 (8 craft, 298/298 cov, sumJi 10.477)  [12 s]
gen   7  best  12.500  eliteMean  12.961  ever  12.477 (8 craft, 298/298 cov, sumJi 10.477)  [13 s]
gen   8  best  12.458  eliteMean  12.872  ever  12.458 (8 craft, 298/298 cov, sumJi 10.458)  [15 s]
gen   9  best  12.504  eliteMean  13.027  ever  12.458 (8 craft, 298/298 cov, sumJi 10.458)  [16 s]
gen  10  best  12.499  eliteMean  12.765  ever  12.458 (8 craft, 298/298 cov, sumJi 10.458)  [18 s]
gen  11  best  12.481  eliteMean  12.795  ever  12.458 (8 craft, 298/298 cov, sumJi 10.458)  [20 s]
gen  12  best  12.462  eliteMean  12.924  ever  12.458 (8 craft, 298/298 cov, sumJi 10.458)  [21 s]
gen  13  best  12.475  eliteMean  12.625  ever  12.458 (8 craft, 298/298 cov, sumJi 10.458)  [23 s]
gen  14  best  12.484  eliteMean  12.914  ever  12.458 (8 craft, 298/298 cov, sumJi 10.458)  [24 s]
gen  15  best  12.441  eliteMean  12.674  ever  12.441 (8 craft, 298/298 cov, sumJi 10.441)  [26 s]
gen  16  best  12.443  eliteMean  12.770  ever  12.441 (8 craft, 298/298 cov, sumJi 10.441)  [27 s]
gen  17  best  12.409  eliteMean  12.666  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [28 s]
gen  18  best  12.413  eliteMean  12.603  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [30 s]
gen  19  best  12.445  eliteMean  12.853  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [31 s]
gen  20  best  12.446  eliteMean  12.648  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [33 s]
gen  21  best  12.409  eliteMean  12.536  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [35 s]
gen  22  best  12.414  eliteMean  12.593  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [36 s]
gen  23  best  12.454  eliteMean  12.728  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [38 s]
gen  24  best  12.467  eliteMean  12.851  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [40 s]
gen  25  best  12.420  eliteMean  12.551  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [41 s]
gen  26  best  12.427  eliteMean  12.662  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [43 s]
gen  27  best  12.436  eliteMean  12.540  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [44 s]
gen  28  best  12.437  eliteMean  12.795  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [46 s]
gen  29  best  12.459  eliteMean  12.584  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [47 s]
gen  30  best  12.456  eliteMean  12.558  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [49 s]
gen  31  best  12.443  eliteMean  12.672  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [51 s]
gen  32  best  12.440  eliteMean  12.594  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [52 s]
gen  33  best  12.424  eliteMean  12.668  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [54 s]
gen  34  best  12.445  eliteMean  12.682  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [56 s]
gen  35  best  12.420  eliteMean  12.670  ever  12.409 (8 craft, 298/298 cov, sumJi 10.409)  [57 s]
gen  36  best  12.394  eliteMean  12.506  ever  12.394 (8 craft, 298/298 cov, sumJi 10.394)  [59 s]
gen  37  best  12.450  eliteMean  12.597  ever  12.394 (8 craft, 298/298 cov, sumJi 10.394)  [61 s]
gen  38  best  12.407  eliteMean  12.478  ever  12.394 (8 craft, 298/298 cov, sumJi 10.394)  [62 s]
gen  39  best  12.407  eliteMean  12.609  ever  12.394 (8 craft, 298/298 cov, sumJi 10.394)  [64 s]
gen  40  best  12.448  eliteMean  12.542  ever  12.394 (8 craft, 298/298 cov, sumJi 10.394)  [66 s]
gen  41  best  12.421  eliteMean  12.595  ever  12.394 (8 craft, 298/298 cov, sumJi 10.394)  [67 s]
gen  42  best  12.377  eliteMean  12.512  ever  12.377 (8 craft, 298/298 cov, sumJi 10.377)  [69 s]
gen  43  best  12.421  eliteMean  12.484  ever  12.377 (8 craft, 298/298 cov, sumJi 10.377)  [70 s]
gen  44  best  12.381  eliteMean  12.593  ever  12.377 (8 craft, 298/298 cov, sumJi 10.377)  [72 s]
gen  45  best  12.380  eliteMean  12.523  ever  12.377 (8 craft, 298/298 cov, sumJi 10.377)  [73 s]
gen  46  best  12.405  eliteMean  12.477  ever  12.377 (8 craft, 298/298 cov, sumJi 10.377)  [74 s]
gen  47  best  12.415  eliteMean  12.523  ever  12.377 (8 craft, 298/298 cov, sumJi 10.377)  [76 s]
gen  48  best  12.376  eliteMean  12.567  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [77 s]
gen  49  best  12.428  eliteMean  12.565  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [78 s]
gen  50  best  12.412  eliteMean  12.629  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [79 s]
gen  51  best  12.387  eliteMean  12.504  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [81 s]
gen  52  best  12.399  eliteMean  12.480  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [82 s]
gen  53  best  12.400  eliteMean  12.475  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [84 s]
gen  54  best  12.393  eliteMean  12.535  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [85 s]
gen  55  best  12.392  eliteMean  12.480  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [86 s]
gen  56  best  12.413  eliteMean  12.494  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [88 s]
gen  57  best  12.399  eliteMean  12.469  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [89 s]
gen  58  best  12.393  eliteMean  12.470  ever  12.376 (8 craft, 298/298 cov, sumJi 10.376)  [90 s]
gen  59  best  12.367  eliteMean  12.491  ever  12.367 (8 craft, 298/298 cov, sumJi 10.367)  [91 s]
gen  60  best  12.384  eliteMean  12.452  ever  12.367 (8 craft, 298/298 cov, sumJi 10.367)  [93 s]
