# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 2.0 beta 1.0 rho 0.05 ants 96 gens 150 nmax 12 depth 45 breakeven 0.0369
gen   0  best  12.117  eliteMean  13.094  ever  12.117 (7 craft, 298/298 cov, sumJi 10.117)  [2 s]
gen   1  best  12.182  eliteMean  13.205  ever  12.117 (7 craft, 298/298 cov, sumJi 10.117)  [4 s]
gen   2  best  12.159  eliteMean  13.163  ever  12.117 (7 craft, 298/298 cov, sumJi 10.117)  [6 s]
gen   3  best  12.051  eliteMean  13.090  ever  12.051 (7 craft, 298/298 cov, sumJi 10.051)  [8 s]
gen   4  best  12.026  eliteMean  12.814  ever  12.026 (7 craft, 298/298 cov, sumJi 10.026)  [10 s]
gen   5  best  12.035  eliteMean  12.823  ever  12.026 (7 craft, 298/298 cov, sumJi 10.026)  [12 s]
gen   6  best  12.098  eliteMean  12.584  ever  12.026 (7 craft, 298/298 cov, sumJi 10.026)  [14 s]
gen   7  best  12.025  eliteMean  12.586  ever  12.025 (7 craft, 298/298 cov, sumJi 10.025)  [16 s]
gen   8  best  12.005  eliteMean  12.421  ever  12.005 (7 craft, 298/298 cov, sumJi 10.005)  [18 s]
gen   9  best  11.966  eliteMean  12.519  ever  11.966 (7 craft, 298/298 cov, sumJi 9.966)  [20 s]
gen  10  best  11.912  eliteMean  12.075  ever  11.912 (7 craft, 298/298 cov, sumJi 9.912)  [21 s]
gen  11  best  11.860  eliteMean  12.148  ever  11.860 (7 craft, 298/298 cov, sumJi 9.860)  [23 s]
gen  12  best  11.864  eliteMean  12.012  ever  11.860 (7 craft, 298/298 cov, sumJi 9.860)  [25 s]
gen  13  best  11.799  eliteMean  11.950  ever  11.799 (7 craft, 298/298 cov, sumJi 9.799)  [26 s]
gen  14  best  11.739  eliteMean  11.897  ever  11.739 (7 craft, 298/298 cov, sumJi 9.739)  [27 s]
gen  15  best  11.797  eliteMean  11.963  ever  11.739 (7 craft, 298/298 cov, sumJi 9.739)  [29 s]
