# fleet_aco 2026-09-21 16:03:35  carriers 240, targets 298
# model F0 +200.8 KB 2.59 KX 1.81 QD 3.01 sel(-3.93,-1.54)  (calib rmse 54 kg, R2 0.47)
# alpha 1.0 beta 2.0 rho 0.1 ants 96 gens 150 nmax 14 depth 38 breakeven 0.0369
gen   0  best  12.619  eliteMean  13.528  ever  12.619 (8 craft, 298/298 cov, sumJi 10.619)  [2 s]
gen   1  best  12.578  eliteMean  13.553  ever  12.578 (8 craft, 298/298 cov, sumJi 10.578)  [4 s]
gen   2  best  12.647  eliteMean  13.688  ever  12.578 (8 craft, 298/298 cov, sumJi 10.578)  [6 s]
gen   3  best  12.559  eliteMean  13.404  ever  12.559 (8 craft, 298/298 cov, sumJi 10.559)  [8 s]
gen   4  best  12.517  eliteMean  13.388  ever  12.517 (8 craft, 298/298 cov, sumJi 10.517)  [10 s]
gen   5  best  12.488  eliteMean  13.490  ever  12.488 (8 craft, 298/298 cov, sumJi 10.488)  [12 s]
gen   6  best  12.457  eliteMean  13.397  ever  12.457 (8 craft, 298/298 cov, sumJi 10.457)  [14 s]
gen   7  best  12.523  eliteMean  13.271  ever  12.457 (8 craft, 298/298 cov, sumJi 10.457)  [15 s]
gen   8  best  12.564  eliteMean  13.342  ever  12.457 (8 craft, 298/298 cov, sumJi 10.457)  [17 s]
gen   9  best  12.514  eliteMean  13.433  ever  12.457 (8 craft, 298/298 cov, sumJi 10.457)  [19 s]
gen  10  best  12.461  eliteMean  13.168  ever  12.457 (8 craft, 298/298 cov, sumJi 10.457)  [21 s]
gen  11  best  12.432  eliteMean  13.176  ever  12.432 (8 craft, 298/298 cov, sumJi 10.432)  [23 s]
gen  12  best  12.463  eliteMean  13.125  ever  12.432 (8 craft, 298/298 cov, sumJi 10.432)  [25 s]
gen  13  best  12.479  eliteMean  13.229  ever  12.432 (8 craft, 298/298 cov, sumJi 10.432)  [26 s]
