('pool_deep', np.float64(0.815), np.float64(30.0), np.float64(74.5))
('pool_all', np.float64(0.788), np.float64(226.5), np.float64(147.0))
('maxdep', np.float64(0.651), np.float64(47.0), np.float64(48.0))
('a', np.float64(0.627), np.float64(2.037), np.float64(1.78))
('P', np.float64(0.627), np.float64(2.908), np.float64(2.375))
('nodepass', np.float64(0.627), np.float64(5.158), np.float64(6.315))
('Q', np.float64(0.623), np.float64(3.225), np.float64(2.78))
('syn', np.float64(0.611), np.float64(1.516), np.float64(1.666))
('fly_r', np.float64(0.583), np.float64(1.014), np.float64(0.997))
('e', np.float64(0.582), np.float64(0.609), np.float64(0.57))
('q', np.float64(0.567), np.float64(0.876), np.float64(0.819))
('moid', np.float64(0.561), np.float64(0.027), np.float64(0.023))
('i', np.float64(0.555), np.float64(15.237), np.float64(12.642))
('fly_vrel', np.float64(0.543), np.float64(16.732), np.float64(16.157))
('t_fly', np.float64(0.537), np.float64(2936.702), np.float64(2752.011))
('lnode', np.float64(0.536), np.float64(206.41), np.float64(180.6))
('dnode', np.float64(0.517), np.float64(0.044), np.float64(0.042))
('fly_z', np.float64(0.51), np.float64(0.002), np.float64(-0.004))
('Om', np.float64(0.503), np.float64(164.6), np.float64(162.648))
no sklearn No module named 'sklearn'
logistic (a,e,i,q,dnode,moid,vrel,lnode,nodepass) 5-fold CV AUC mean 0.607 sd 0.014
